dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
2,200,MetaModel,3,0,3,True,118,4
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,339,1
2,200,MetaModelOnePlusOne,2,2,4,True,244,2
2,200,ChainMetaModelPowell,3,3,1,True,148,3
2,200,CMA,5,5,0,True,106,5
2,300,MetaModel,2,0,3,True,190,3
2,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,458,1
2,300,ChainMetaModelPowell,2,2,1,True,207,2
2,300,CMA,4,4,0,True,148,5
2,300,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,190,3
2,500,CMA,4,0,0,True,216,5
2,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,459,1
2,500,MetaModel,2,2,3,True,246,2
2,500,ChainMetaModelPowell,2,2,1,True,243,4
2,500,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,246,2
2,1000,CMA,4,0,0,True,429,2
2,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,434,1
2,1000,ChainMetaModelPowell,2,2,1,True,306,5
2,1000,MetaModel,2,2,3,True,387,4
2,1000,ConfPortfolio_scale2_NA_ngopt14s_1,4,4,38,True,429,2
2,1500,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,14,0,35,True,397,4
2,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,427,2
2,1500,ChainMetaModelPowell,2,2,1,True,389,5
2,1500,MetaModel,2,2,3,True,423,3
2,1500,CMA,4,4,0,True,463,1
2,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,14,0,34,True,473,2
2,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,405,5
2,2000,ChainMetaModelPowell,2,2,1,True,427,4
2,2000,MetaModel,2,2,3,True,467,3
2,2000,CMA,4,4,0,True,501,1
2,2500,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,16,0,33,True,492,2
2,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,408,5
2,2500,MetaModel,2,2,3,True,491,3
2,2500,ChainMetaModelPowell,2,2,1,True,454,4
2,2500,CMA,4,4,0,True,530,1
2,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,18,0,32,True,535,2
2,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,418,5
2,3000,MetaModel,2,2,3,True,506,3
2,3000,ChainMetaModelPowell,2,2,1,True,471,4
2,3000,CMA,4,4,0,True,543,1
2,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,19,0,31,True,572,1
2,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,406,5
2,3500,MetaModel,2,2,3,True,520,3
2,3500,ChainMetaModelPowell,2,2,1,True,487,4
2,3500,CMA,4,4,0,True,567,2
2,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,22,0,30,True,590,2
2,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,406,5
2,4000,MetaModel,2,2,3,True,533,3
2,4000,ChainMetaModelPowell,2,2,1,True,495,4
2,4000,CMA,4,4,0,True,595,1
2,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,23,0,29,True,626,1
2,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,396,5
2,4500,MetaModel,2,2,3,True,545,3
2,4500,ChainMetaModelPowell,2,2,1,True,510,4
2,4500,CMA,4,4,0,True,610,2
2,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,26,0,28,True,635,1
2,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,402,5
2,5000,ChainMetaModelPowell,2,2,1,True,520,4
2,5000,MetaModel,2,2,3,True,555,3
2,5000,CMA,4,4,0,True,620,2
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,11,0,26,True,658,2
2,6000,ChainMetaModelPowell,1,-1,1,True,534,5
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,2,2,21,True,620,4
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19,True,630,3
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,4,4,22,True,665,1
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,11,0,24,True,679,2
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1,-1,19,True,633,5
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,2,2,22,True,684,1
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,3,3,20,True,644,4
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,4,4,21,True,652,3
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,0,22,True,670,1
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,2,2,19,True,648,4
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,3,3,20,True,662,2
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,3,3,21,True,637,5
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,5,18,True,656,3
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,4,0,20,True,663,3
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,-1,22,True,678,1
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_18,2,2,21,True,660,4
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,3,3,19,True,643,5
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,5,18,True,673,2
2,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,0,18,True,666,4
