dimensions,budget,algorithm,rank,ngopt rank,algo ID,in data,points test,rank test
2,200,MetaModel,3,0,3,True,273,2
2,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,580,1
2,300,MetaModel,2,0,3,True,292,2
2,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,592,1
2,500,CMA,4,0,0,True,340,2
2,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,582,1
2,1000,CMA,4,0,0,True,469,2
2,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,508,1
2,1500,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,14,0,35,True,476,2
2,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,547,1
2,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,14,0,34,True,539,1
2,2000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,507,2
2,2500,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,16,0,33,True,558,1
2,2500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,499,2
2,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,18,0,32,True,582,1
2,3000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,513,2
2,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_8,19,0,31,True,623,1
2,3500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,478,2
2,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,22,0,30,True,648,1
2,4000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,477,2
2,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,23,0,29,True,690,1
2,4500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,467,2
2,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,26,0,28,True,688,1
2,5000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,-1,5,True,462,2
2,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,11,0,26,True,755,1
2,6000,ChainMetaModelPowell,1,-1,1,True,558,2
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_15,11,0,24,True,730,1
2,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_20,1,-1,19,True,674,2
2,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,0,22,True,828,1
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_19,4,0,20,True,707,2
2,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,-1,22,True,713,1
2,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_21,5,0,18,True,702,2
2,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_17,1,-1,22,True,736,1
3,200,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,828,1
3,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,828,1
3,500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,828,1
3,1000,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5,True,440,2
3,1000,CMA,1,-1,0,True,503,1
3,1500,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),5,0,5,True,448,2
3,1500,CMA,1,-1,0,True,530,1
3,2000,ConfPortfolio_scale2_scale=1.3_ngopt14s_3,7,0,36,True,490,2
3,2000,MetaModel,1,-1,3,True,612,1
3,2500,ConfPortfolio_scale2_scale=1.3_ngopt14s_4,8,0,35,True,590,2
3,2500,MetaModel,1,-1,3,True,596,1
3,3000,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,9,0,34,True,623,1
3,3000,ChainMetaModelPowell,1,-1,1,True,549,2
3,3500,ConfPortfolio_scale2_scale=1.3_ngopt14s_5,8,0,34,True,578,2
3,3500,MetaModel,1,-1,3,True,640,1
3,4000,ConfPortfolio_scale2_scale=1.3_ngopt14s_6,12,0,33,True,614,2
3,4000,MetaModel,1,-1,3,True,634,1
3,4500,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,16,0,32,True,601,2
3,4500,MetaModel,1,-1,3,True,634,1
3,5000,ConfPortfolio_scale2_scale=1.3_ngopt14s_7,13,0,32,True,658,1
3,5000,ChainMetaModelPowell,1,-1,1,True,573,2
3,6000,ConfPortfolio_scale2_scale=1.3_ngopt14s_9,12,0,30,True,652,1
3,6000,ChainMetaModelPowell,1,-1,1,True,592,2
3,7000,ConfPortfolio_scale2_scale=1.3_ngopt14s_10,19,0,29,True,674,1
3,7000,ChainMetaModelPowell,1,-1,1,True,588,2
3,8000,ConfPortfolio_scale2_scale=1.3_ngopt14s_11,22,0,28,True,660,1
3,8000,ChainMetaModelPowell,1,-1,1,True,610,2
3,9000,ConfPortfolio_scale2_scale=1.3_ngopt14s_13,25,0,26,True,678,1
3,9000,ChainMetaModelPowell,1,-1,1,True,602,2
3,10000,ConfPortfolio_scale2_scale=1.3_ngopt14s_14,1,0,25,True,828,1
5,200,Cobyla,3,0,2,True,258,2
5,200,MetaModelOnePlusOne,1,-1,4,True,584,1
5,300,ParametrizedMetaModel(multivariate_optimizer=CmaFmin2),1,0,5,True,828,1
